"address";"value"
"dHfQHni9fQqWAkV2d5dKz6RQGZ4y2hh6C5";"10919.15092682"
"dcBPZwtTt35LicnqwBFJ6JMWEtg3WvRjt7";"10874.71778705"
"db9qU3xn2GREzu43SUSpgALjx6YWB8ko8v";"10835.98512587"
"dZTEMvLjwWjtiH3k1LCCX2soLXhQcUDLyZ";"10826.90173821"
"dPT4XP9PtmqTcJT2sJxYjmpSd8EgU7JG9D";"10821.19658271"
"dZV7TFYSPH1gYUbQBpPdXxbaGHqZwHB9dJ";"10810.24225415"
"dLgDfmmqMYsjL4RErF7CRvWd2A8rcauJPh";"10805.56903272"
"dFL6gDujMx94XeFgPoFc3msmcA4dnS1TxB";"10667.10000001"
"dcchyfHMM6zvjtG2xmfKHu1dYwrfQHFdsc";"10645.57309298"
"dKWLKYs1SQS3HKB8KGYGVfD8bhXAWQH1FK";"10616.87413811"
"dQUmrqEYqwYyirMPJSMHWZJUNYh4dEgwE6";"10615.03129221"
"dJEn69FLg3LyTmKc6WjF7f47WePUPXxqHw";"10610.14249869"
"dVkzqyf4PnWrQXVEE3S5192QVqvHeAomh2";"10569.36269224"
"dGitN8rrGfKAneNR8w1A68evdFgyqMvg1q";"10543.52272234"
"dJWVbYhykxPwJQ1PxxjtQjBoGc1abhfQh7";"10484.32498466"
"dNHV39gubhD9wXNSvzmFWNkKfsqvwGWgFK";"10464.97543906"
"dasHERZmwgtvWGNRxs55GPrXsAKwY7bX85";"10463.6052866"
"dQqummJgBc5jC1ii1zcbh3dEBHKC3Jpr72";"10460.97728446"
"dE4hJ8ZFZojQgkGmUedfAk1NVpJ3Lbd38M";"10460.85935769"
"dQbUSfdCkwB5bC4oXBAnt4tepktLmvaKCV";"10459.71829547"
"dbocHwWGnes2ozrQaMESzX7TMUkTLGfzvA";"10459.39874425"
"dMKWWufqfus6hvsQf7ADTsRiJcAKjFCoog";"10450.37227119"
"dGirhesYPK8E1E6D24LvdzdkjucJhrf4nn";"10422.83435525"
"dEGBtikVsXPdQ3TPwGyMvDtQmgQNeMTzHD";"10410.21221868"
"dPYFJtaZvX3AaTRksc2idLXa8kxDggTTPn";"10388.37468216"
"dcBp6pFhULqMjE9JXfrJ7qguqTDzeXRrc3";"10328.85312476"
"da91F9rMdjhQjx8YgfdiCUCdUrLZMorzER";"10295.27538745"
"dSy6xxzNuWRHsRAxjRxt2kSGj8rYxFJWnj";"10212.37224229"
"dVAVpxffRyyi34j9gJiFixuwaSded1Gc7Z";"10206.24184356"
"dEBSm9LoU68gzFHReAvQVFPoZ2DUghK7hm";"10203.9363059"
"dMQNZbpfycPa1m33jn8MGQ7M1ez4czPwA3";"10201.55339544"
"dZgiTMcpe7aLXaZeFUfHyjGVAx5ypRDCX7";"10198.31554592"
"dDbtLreC1KxerhAMQRpXP5SzUh9pqsPoB1";"10057.91187946"
"dch6ZLQ1tqHoM8GedVUKxBt5GhZpMBzDNq";"10053.87828191"
"dZREZUqiMoXKyWvgNqCDanHm7kTpvKnbSq";"10053.01663771"
"dV7ygGbLScBzT6YbF5YeA5DooHnScS3AY7";"10052.53409671"
"dLDGRyrEFW8grLKci2jEcQG8LScsbqV8Yg";"10052.53321531"
"dKX7nBgVYhNiQwiNfvu49XACW5mXvTzgtK";"10052.51998001"
"dMdjuF7xcsUvkYy2ikaQkx5z5viqNvhzxz";"10051.17077226"
"dGRrftRgxLahkMtEqG8agTTMkkvHs8MLwd";"10049.84685991"
"dbksBNJePiZyM411vLaWVoWtFxoaQ6UrhA";"10048.49095066"
"dbKBryr18upppXAo9QDVj2FgHqFGKQMyUS";"10047.74994381"
"dP7S8Uc2nfRe6Ni2b5dE6vUYkTksbPKLtP";"10037.55367526"
"dUCh2pWSpFVVzBqLAw6fQVi33DfScf3C7h";"10035.25263561"
"dWYRsmMompNpKeZpJYxnhaQToroYUwuzHM";"10034.74999451"
"dbWDZbHgaK9UzgvdXYibgxgpzkekoQ6fuW";"10033.48170801"
"dJ2V8cuabmRQWCRo6kRioyzRvE59udkuGU";"10032.55840044"
"dbcePx54QKhacqyp9w2961fTMXGMV52UTB";"10032.41280452"
"dFKNwDWexXFapBBxRh5FsYtj3GkG8TyS75";"10032.25928712"
"dYxA2yg6UZGaod9WypxKzj3hVtWYBAsBC2";"10031.68297962"
"dHdA8CYrvb2m1whzE1j6sWdNMmMqU18mYV";"10029.04591301"
"dJ9KhWsH2VTyazDE6T2YgSNZYgjvySpKk3";"10028.53865691"
"daSbYLEQpoEiCz4pz8oTbt1hhyEmRopoeu";"10028.15806956"
"dZgyong6hLgyZSTup1DNKAQXz5aA4h9iGv";"10028.03402811"
"dX4uT377bYZqhaP7i5o24quzSYGBvhnyby";"10027.65312876"
"dEvwCFW8GncGYoeVkWLzPgGgrq8hKzN3CZ";"10027.52818836"
"dTT5ZmnvmQ51RaG122pvxGJ4Msik3rw1mW";"10027.27047181"
